month	top20_asns_by_degree
2004-07	701,7018,1239,3356,209,3549,2914,702,174,8220,7132,4323,3561,6461,3786,2828,2516,3320,4766,13129
2004-08	701,7018,1239,3356,209,2914,3549,174,702,8220,7132,4323,3561,6461,2828,3786,3320,4766,2516,4637
2004-09	701,7018,1239,3356,209,2914,3549,174,702,8220,7132,4323,3561,2828,6461,3320,3786,4766,2516,4637
2004-10	701,7018,1239,3356,209,174,2914,3549,3561,702,8220,7132,4323,2828,6461,3320,4766,3786,4637,2516
2004-11	701,7018,1239,3356,209,174,2914,3549,3561,702,8220,7132,4323,2828,6461,3320,4766,3786,1273,4637
2004-12	701,7018,1239,3356,209,174,2914,3549,3561,8220,702,7132,4323,2828,6461,3320,3786,4766,2516,1273
2005-01	701,7018,1239,3356,209,174,2914,3549,8220,3561,702,7132,4323,2828,6461,3320,3786,4766,2516,1299
2005-02	701,7018,1239,3356,209,174,3549,2914,8220,3561,702,7132,4323,2828,6461,3320,1299,3786,2516,4766
2005-03	701,7018,1239,3356,209,174,3549,8220,3561,702,7132,4323,2914,2828,6461,3320,1299,3786,4766,2516
2005-04	701,7018,1239,3356,209,174,3549,8220,3561,7132,702,4323,2914,2828,3320,6461,1299,3786,4766,7911
2005-05	701,7018,1239,3356,209,174,3549,8220,7132,3561,702,4323,2828,2914,6461,3320,1299,3786,6395,7911
2005-06	701,7018,1239,3356,209,174,3549,8220,7132,4323,3561,702,2828,2914,6461,3320,1299,7911,3786,4766
2005-07	701,7018,1239,3356,209,174,3549,8220,7132,4323,3561,702,2828,2914,6461,3320,1299,4766,7911,6395
2005-08	701,7018,1239,3356,209,174,3549,8220,7132,4323,3561,702,2828,2914,6461,3320,6395,4766,7911,1299
2005-09	701,7018,1239,3356,209,174,3549,8220,7132,4323,3561,702,2828,2914,6461,3320,6395,7911,1299,4766
2005-10	701,7018,1239,3356,209,174,8220,3549,7132,4323,3561,702,2828,6461,2914,6395,1299,7911,4766,3320
2005-11	701,7018,1239,3356,209,174,8220,3549,7132,4323,3561,702,2828,2914,6461,1299,6395,7911,3320,4766
2005-12	701,7018,1239,3356,209,174,3549,8220,7132,4323,702,3561,2828,6461,2914,1299,6395,7911,3320,4766
2006-01	701,7018,1239,3356,209,174,8220,3549,7132,4323,702,3561,2828,6461,2914,1299,6395,7911,3320,4766
2006-02	701,7018,1239,3356,209,174,3549,4323,7132,702,3561,2828,8220,6461,2914,1299,6395,7911,4766,3320
2006-03	701,7018,1239,3356,209,174,3549,7132,4323,702,3561,6461,2828,8220,2914,6395,1299,7911,4766,3320
2006-04	701,7018,1239,3356,174,209,8220,3549,7132,4323,702,3561,6461,2828,2914,1299,6395,7911,4766,3320
2006-05	701,7018,1239,3356,174,209,3549,8220,7132,4323,702,3561,6461,2828,2914,1299,6395,7911,4766,3320
2006-06	701,7018,1239,3356,174,209,3549,7132,4323,702,3561,6461,2828,8220,1299,8928,2914,6395,6453,3320
2006-07	701,7018,1239,3356,174,209,3549,7132,4323,702,3561,6461,2828,8220,2914,1299,8928,6395,6453,3320
2006-08	701,7018,1239,3356,174,209,3549,4323,7132,702,3561,6461,2828,8928,8220,2914,1299,6395,6453,3320
2006-09	701,7018,1239,3356,174,209,3549,4323,7132,702,3561,6461,2914,2828,8220,1299,8928,6395,6453,3320
2006-10	701,7018,1239,3356,174,209,3549,4323,7132,702,3561,6461,2914,8220,8928,2828,1299,6395,6453,3320
2006-11	701,7018,1239,3356,174,209,3549,4323,7132,702,6461,3561,2914,8220,2828,8928,1299,6453,6395,3320
2006-12	701,7018,1239,174,3356,209,3549,4323,7132,702,6461,3561,2914,8928,8220,2828,1299,6453,6395,3257
2007-01	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,8928,3561,2914,8220,2828,1299,6395,6453,3320
2007-02	701,7018,1239,174,3356,209,3549,4323,7132,702,3561,6461,8928,2914,2828,8220,1299,6395,6453,3257
2007-03	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,3561,8928,2914,2828,8220,1299,3257,6453,6395
2007-04	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,3561,2914,2828,1299,8928,8220,3257,6453,6395
2007-05	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,8928,3561,2914,2828,1299,8220,3257,6453,6395
2007-06	701,7018,1239,174,3356,209,3549,4323,7132,6461,8928,702,2914,3561,1299,2828,8220,3257,6453,6395
2007-07	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,8928,1299,2914,3561,2828,8220,3257,6453,6395
2007-08	701,7018,1239,174,3356,209,3549,4323,7132,6461,702,2914,8928,1299,2828,3561,8220,6453,3257,6395
2007-09	701,7018,174,1239,3356,209,3549,4323,7132,6461,8928,2828,2914,1299,702,3561,8220,3257,3320,6453
2007-10	701,7018,174,1239,3356,209,3549,4323,7132,6461,2828,702,2914,1299,8220,3561,8928,3257,6453,13237
2007-11	701,7018,174,3356,1239,209,3549,4323,7132,6461,2828,2914,702,1299,8928,8220,3257,3561,13237,6453
2007-12	701,7018,174,3356,1239,209,3549,4323,7132,6461,2828,2914,702,8928,8220,1299,3257,13237,6453,3561
2008-01	701,7018,3356,174,1239,209,3549,4323,7132,6461,8928,2828,2914,1299,702,8220,3257,3561,6453,3320
2008-02	7018,701,3356,174,1239,209,3549,4323,7132,6461,2828,1299,2914,702,8220,3257,3561,6453,8928,3320
2008-03	701,7018,174,3356,1239,209,3549,4323,7132,6461,2828,2914,1299,702,8220,8928,3257,6453,3561,3320
2008-04	7018,701,174,3356,1239,209,3549,4323,7132,6461,2828,2914,1299,8220,702,3257,9121,8928,6453,3561
2008-05	7018,701,174,3356,1239,209,3549,4323,6461,7132,2828,2914,1299,8928,9121,702,8220,3257,3561,3320
2008-06	7018,701,174,3356,1239,209,3549,4323,6461,7132,2828,2914,1299,8928,3257,9121,8220,702,15412,3561
2008-07	7018,701,3356,174,1239,209,3549,4323,6461,7132,2828,2914,1299,9121,8220,8928,3257,702,15412,3320
2008-08	7018,701,174,3356,1239,209,3549,4323,6461,7132,2828,2914,1299,9121,3257,8220,702,3561,6453,3320
2008-09	701,7018,3356,174,1239,209,3549,4323,6461,2828,7132,2914,1299,3257,8220,8359,702,29208,8928,15412
2008-10	7018,701,174,3356,1239,209,3549,4323,6461,2828,2914,7132,1299,3257,702,8220,8928,12389,29208,15412
2008-11	7018,701,3356,174,1239,209,3549,4323,6461,2828,2914,7132,1299,29208,8928,3257,12389,8220,702,3320
2008-12	7018,174,3356,701,1239,209,3549,4323,6461,2828,12389,2914,7132,1299,29208,3257,8220,8928,702,3561
2009-01	174,7018,3356,701,1239,209,3549,4323,6461,2828,12389,2914,29208,1299,7132,3257,8220,8928,702,3561
2009-02	7018,174,3356,701,1239,209,3549,4323,12389,2828,6461,2914,1299,7132,3257,29208,8220,702,8928,3320
2009-03	174,7018,3356,701,1239,209,3549,4323,2828,6461,2914,1299,3257,7132,8220,6453,3320,702,15412,6939
2009-04	174,3356,7018,701,1239,209,3549,4323,2828,6461,3257,2914,1299,7132,8220,702,3320,6939,6453,15412
2009-05	3356,174,7018,701,1239,209,3549,4323,2828,6461,3257,1299,2914,7132,6453,8220,6939,702,3320,15412
2009-06	3356,174,7018,701,1239,209,3549,4323,2828,3257,6461,1299,2914,7132,6453,8220,6939,702,3320,15412
2009-07	3356,174,7018,701,1239,209,3549,4323,9002,2828,12389,3257,6461,1299,2914,6939,7132,6453,8220,702
2009-08	3356,174,7018,701,1239,3549,209,4323,12389,2828,3257,9002,6461,2914,1299,6453,6939,7132,8220,41692
2009-09	3356,174,7018,701,1239,3549,209,4323,12389,2828,3257,6461,9002,6939,1299,2914,6453,702,8220,3320
2009-10	3356,174,7018,701,3549,1239,209,4323,12389,2828,3257,6939,6461,2914,1299,6453,8220,702,3320,7132
2009-11	3356,174,7018,701,3549,209,1239,4323,2828,12389,3257,6939,6461,2914,1299,6453,41692,8220,702,3320
2009-12	3356,174,7018,701,3549,209,1239,4323,12389,2828,6939,3257,6461,1299,2914,41692,6453,8220,3320,702
2010-01	3356,174,7018,701,3549,209,1239,4323,12389,6939,2828,3257,6461,1299,2914,41692,6453,702,8220,3320
2010-02	3356,174,7018,701,3549,209,1239,4323,2828,3257,6939,6461,2914,1299,6453,702,8220,12389,3320,29208
2010-03	3356,174,7018,701,3549,209,1239,4323,6939,2828,3257,6461,2914,1299,6453,702,3320,8220,12389,29208
2010-04	3356,174,7018,701,3549,209,1239,4323,6939,2828,3257,6461,2914,1299,6453,8220,702,3320,12389,29208
2010-05	174,3356,7018,701,3549,209,1239,4323,6939,2828,3257,6461,1299,2914,41692,6453,3320,12389,8220,702
2010-06	174,3356,7018,701,3549,209,1239,4323,6939,2828,3257,6461,41692,1299,2914,6453,3320,8220,12389,702
2010-07	174,3356,7018,701,3549,209,1239,4323,6939,2828,3257,6461,2914,1299,6453,8220,12389,3320,702,29208
2010-08	174,3356,7018,701,3549,209,1239,4323,6939,2828,3257,6461,1299,2914,6453,8220,12389,3320,702,29208
2010-09	174,3356,7018,701,3549,209,1239,4323,6939,2828,3257,6461,1299,2914,6453,8220,12389,29208,3320,702
