month	top20_asns_by_degree
2019-02	6939,174,3356,8220,7018,3549,1299,2914,6461,209,3257,9002,701,50304,20562,39351,33891,48362,50300,9498
2019-03	6939,174,3356,7018,3549,8220,1299,2914,6461,209,3257,39351,9002,701,20562,50304,33891,48362,50300,29208
2019-04	6939,174,3356,7018,3549,8220,1299,6461,2914,3257,209,9002,39351,701,50304,33891,50300,48362,9498,12389
2019-05	6939,174,3356,7018,3549,8220,1299,6461,2914,3257,209,9002,39351,20485,701,50304,38001,33891,12389,48362
2019-06	6939,174,3356,7018,60501,3549,8220,1299,6461,3257,2914,209,9002,39351,33891,20485,701,50304,20562,38001
2019-07	6939,174,3356,7018,60501,3549,8220,1299,6461,2914,3257,209,9002,37100,39351,20485,701,50304,33891,38001
2019-08	6939,174,3356,7018,60501,3549,8220,9002,1299,6461,3257,2914,209,37100,39351,33891,701,50304,12389,20485
2019-09	6939,174,3356,7018,8220,3549,9002,3257,1299,6461,2914,209,37100,39351,20485,58057,701,34019,17639,33891
2019-10	6939,174,3356,7018,3549,8220,9002,6461,3257,1299,58057,209,2914,37100,39351,20485,701,34019,20562,17639
2019-11	6939,174,3303,3356,7018,3549,8220,9002,3257,6461,1299,58057,209,2914,39351,37100,6830,20485,701,34019
2019-12	6939,174,3356,7018,3549,8220,9002,6461,3257,1299,39351,209,2914,37100,17639,20485,701,24811,33891,34019
2020-01	6939,174,3356,60501,7018,3549,3257,9002,6461,1299,39351,209,2914,37100,8220,20485,701,33891,17639,28716
2020-02	6939,174,3356,7018,9002,3549,6461,1299,3257,39351,209,2914,8220,35280,20485,58057,39533,701,33891,17639
2020-03	6939,174,3356,7018,9002,3549,6461,1299,3257,39351,2914,209,8220,58057,35280,20485,37721,39737,39533,701
2020-04	6939,174,3356,7018,9002,3549,6461,3257,1299,39351,2914,209,37721,8220,39533,41327,20485,39737,50629,33891
2020-05	6939,174,3356,35280,7018,9002,6461,3257,1299,3549,41327,39351,37721,2914,209,8220,39533,20485,39737,701
2020-06	6939,174,3356,7018,6461,3257,1299,3549,41327,39351,37721,9002,2914,209,39533,34019,12741,8220,20485,17639
2020-07	6939,174,3356,7018,6461,1299,3257,37721,3549,39351,41327,9002,2914,58057,209,39533,34019,8220,20485,33891
2020-08	6939,174,3356,7018,9002,6461,1299,37721,3257,3549,39351,41327,58057,2914,209,39533,34019,15830,8220,35280
2020-09	6939,174,3356,39533,7018,9002,37721,6461,1299,3257,39351,3549,41327,58057,2914,34019,20485,15830,8220,34549
2020-10	6939,174,3356,39533,7018,9002,6461,37721,1299,3257,39351,41327,3549,58057,2914,34549,34019,8220,20485,15830
2020-11	6939,174,3356,39533,7018,9002,37721,1299,6461,39351,3257,58057,8220,41327,3549,34549,35280,2914,15830,34019
2020-12	6939,174,3356,39533,7018,9002,41327,37721,6461,1299,39351,3257,8220,58057,35280,3549,34549,50629,2914,15830
2021-01	6939,174,3356,39533,7018,9002,41327,37721,1299,6461,39351,3257,8220,35280,3549,50629,34549,2914,58057,15830
2021-02	6939,174,3356,7018,9002,41327,37721,1299,6461,39351,3257,39533,8220,34549,50629,3549,2914,35280,58057,15830
2021-03	6939,174,3356,7018,9002,41327,37721,1299,6461,39351,3257,50629,8220,58057,39533,34549,2914,3549,15830,17639
2021-04	6939,174,3356,35280,7018,9002,41327,37721,6461,1299,39351,3257,8220,50629,34549,15830,2914,3549,51999,20485
2021-05	6939,174,3356,35280,7018,9002,37721,41327,6461,1299,39351,3257,8220,50629,15830,34549,2914,3549,50304,20485
2021-06	6939,174,3356,38255,35280,7018,9002,37721,41327,6461,1299,39351,3257,8220,50629,34549,15830,2914,34854,3549
2021-07	6939,174,3356,35280,7018,9002,37721,41327,1299,6461,39351,3257,34549,50629,15830,2914,20485,50304,3549,58057
2021-08	6939,174,3356,38255,35280,7018,9002,37721,41327,6461,1299,34549,3257,15830,2914,58057,30844,50304,50629,34854
2021-09	6939,174,3356,38255,7018,9002,37721,41327,6461,1299,34549,3257,15830,35280,2914,58057,50304,30844,34854,50629
2021-10	6939,174,3356,38255,7018,9002,37721,41327,6461,1299,34549,3257,35280,15830,58057,2914,20485,50629,50304,30844
2021-11	6939,174,3356,38255,35280,7018,9002,37721,1299,6461,3257,34549,41327,15830,58057,50629,2914,30844,50304,34854
2021-12	6939,174,3356,38255,35280,7018,9002,6461,1299,3257,37721,15830,34549,41327,20485,50629,58057,2914,30844,50304
2022-01	6939,174,3356,38255,35280,7018,9002,37721,6461,1299,3257,41327,34549,50629,50304,30844,2914,58057,17639,15830
2022-02	6939,174,3356,38255,35280,7018,9002,37721,15830,1299,6461,3257,34549,58057,50304,2914,30844,50629,17639,41327
2022-03	6939,174,3356,38255,35280,7018,9002,37721,1299,6461,3257,41327,34549,50304,30844,2914,58057,50629,3216,17639
2022-04	6939,174,3356,38255,35280,7018,9002,37721,1299,15830,6461,3257,41327,34549,30844,2914,58057,17639,50629,3216
2022-05	6939,174,3356,38255,35280,15830,7018,9002,37721,1299,6461,3257,34549,41327,30844,48362,2914,17639,58057,50629
2022-06	6939,174,3356,38255,35280,7018,9002,15830,37721,1299,6461,3257,41327,30844,48362,2914,34549,17639,50629,58057
2022-07	6939,174,3356,38255,35280,7018,15830,9002,1299,6461,37721,3257,41327,30844,58057,48362,2914,34549,50629,17639
2022-08	6939,174,3356,38255,35280,15830,37721,7018,9002,1299,6461,3257,41327,58057,48362,17639,2914,34549,3216,50629
2022-09	6939,174,3356,38255,35280,37721,15830,7018,9002,1299,6461,3257,41327,17639,48362,58057,34549,34019,2914,3216
2022-10	6939,174,3356,38255,35280,37721,15830,7018,9002,1299,6461,41327,3257,47158,1239,34549,17639,58057,48362,34019
2022-11	6939,174,3356,38255,35280,37721,15830,41327,7018,9002,6461,1299,17639,3257,58057,48362,34549,34019,2914,3216
2022-12	6939,174,3356,38255,35280,37721,15830,9002,7018,1299,6461,41327,17639,3257,48362,34019,34549,58057,2914,50629
2023-01	6939,174,3356,37721,38255,35280,15830,9002,7018,6461,1299,41327,17639,3257,48362,34549,58057,2914,34019,50629
2023-02	6939,174,3356,37721,38255,35280,7018,9002,1299,6461,212483,41327,15830,17639,3257,34549,48362,58057,2914,50629
2023-03	6939,174,3356,37721,38255,35280,15830,7018,9002,6461,1299,41327,17639,3257,34549,48362,58057,50629,2914,3216
2023-04	6939,174,3356,37721,38255,35280,15830,9002,7018,6461,1299,41327,17639,3257,34549,48362,50629,58057,2914,3216
2023-05	6939,174,3356,37721,38255,35280,9002,7018,6461,1299,17639,41327,34549,3257,15830,48362,50629,58057,2914,3216
2023-06	6939,174,3356,37721,38255,17639,35280,15830,9002,7018,6461,1299,41327,34549,24482,3257,48362,2914,50629,3216
2023-07	6939,174,3356,37721,38255,35280,15830,9002,7018,6461,1299,41327,17639,24482,34549,3257,33891,50629,48362,2914
2023-08	6939,24482,174,3356,37721,38255,35280,15830,9002,6461,7018,1299,41327,17639,34549,3257,48362,2914,3216,58057
2023-09	6939,24482,174,3356,37721,38255,35280,15830,6461,9002,7018,1299,17639,41327,34549,3257,48362,3216,2914,34019
2023-10	6939,24482,174,3356,37721,38255,35280,15830,6461,9002,7018,1299,17639,41327,34549,3257,3216,2914,48362,34019
2023-11	6939,24482,174,3356,37721,38255,35280,15830,6461,9002,7018,1299,17639,41327,34549,3257,3216,48362,2914,34019
2023-12	6939,174,3356,24482,37721,38255,35280,15830,6461,9002,7018,1299,17639,41327,18106,34549,3257,34927,3216,2914
2024-01	6939,24482,174,3356,37721,38255,35280,15830,6461,9002,1299,7018,17639,41327,34549,18106,3257,3216,2914,48362
2024-02	6939,24482,174,3356,37721,38255,35280,15830,9002,6461,1299,7018,41327,34549,17639,18106,3257,48362,3216,2914
2024-03	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,17639,41327,3257,34549,9002,3216,2914,34019,34927
2024-04	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,17639,41327,3257,34549,9002,48362,3216,2914,33891
2024-05	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,41327,34549,3257,17639,9002,48362,3216,2914,34927
2024-06	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,34549,41327,3257,17639,9002,48362,3216,2914,213241
2024-07	6939,174,3356,24482,37721,38255,35280,15830,6461,1299,7018,34549,17639,41327,3257,9002,48362,3216,2914,213241
2024-08	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,34549,3257,17639,41327,48362,9002,2914,3216,34927
2024-09	6939,24482,174,3356,37721,38255,35280,15830,6461,1299,7018,34549,9002,3257,17639,20485,41327,48362,2914,34927
2024-10	6939,24482,3356,174,37721,38255,35280,15830,6461,1299,7018,9002,34549,17639,3257,41327,48362,3216,2914,213241
2024-11	6939,24482,3356,174,37721,38255,35280,6461,9002,12741,1299,34549,7018,33891,17639,3257,41327,48362,3216,2914
2024-12	6939,24482,3356,174,17639,37721,38255,6461,35280,9002,1299,34549,7018,41327,20485,3257,48362,2914,34927,213241
2025-01	6939,24482,174,3356,37721,38255,6461,35280,9002,1299,7018,17639,34549,20485,3257,41327,48362,2914,34927,213241
2025-02	6939,24482,174,3356,37721,38255,9002,35280,6461,1299,7018,17639,34549,20485,3257,41327,48362,34927,2914,213241
2025-03	6939,24482,174,3356,37721,38255,35280,9002,6461,1299,7018,17639,34549,3257,41327,48362,3216,2914,34019,213241
2025-04	6939,24482,174,3356,37721,38255,35280,9002,6461,1299,7018,17639,3257,41327,34549,48362,2914,3216,34019,213241
2025-05	6939,24482,174,3356,37721,38255,35280,9002,6461,1299,7018,17639,3216,3257,41327,34549,48362,2914,34927,213241
2025-06	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,41327,17639,3257,34549,48362,3216,2914,34927,213241
2025-07	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,41327,17639,3216,3257,34549,48362,2914,34927,20485
2025-08	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,41327,3257,3216,48362,34549,34927,2914,33891
2025-09	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,41327,3216,3257,48362,34549,34927,2914,213241
2025-10	6939,24482,174,3356,38255,37721,35280,6461,1299,9002,7018,17639,41327,3216,3257,48362,34549,34927,33891,2914
2025-11	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,41327,3216,3257,48362,34549,34927,2914,33891
2025-12	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,41327,3216,3257,48362,34927,34549,2914,20485
2026-01	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,41327,17639,3216,3257,34927,34549,2914,20485,213241
2026-02	6939,24482,174,3356,37721,38255,35280,6461,9002,1299,7018,17639,3216,3257,48362,34549,2914,34927,20485,33891
2026-03	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,3216,3257,34927,48362,34549,2914,20485,34019
2026-04	6939,24482,174,3356,37721,38255,35280,6461,1299,9002,7018,17639,3216,3257,34927,20485,48362,34549,2914,34019
