quantity,value
mu,0.02
<a>,0.04054989335612357
<a^2>,0.007369581805168533
beta_c_temporal_AD,0.1582326529200423
beta_c_static_HMF,0.00019009814825176222
beta_c_static_QMF,0.0002188830636635789
