node_from,node_to,weight
26,252,28
133,257,23
34,280,20
27,287,30
107,292,25
312,328,29
10,337,18
186,338,28
349,365,30
82,367,25
43,441,25
92,480,32
158,502,21
97,541,20
2,571,28
193,576,24
429,606,22
347,619,25
200,640,20
93,645,23
416,672,36
12,679,21
13,691,24
423,720,25
737,769,24
0,803,21
723,814,33
0,816,20
11,818,23
213,873,20
18,929,17
693,969,35
33,1014,21
188,1026,21
428,1046,27
160,1060,25
786,1081,22
410,1097,21
991,1117,20
29,1129,21
110,1171,27
444,1217,23
77,1224,34
643,1283,19
548,1307,26
27,1319,25
222,1333,22
142,1353,22
638,1364,25
308,1365,22
45,1370,30
152,1386,27
145,1416,23
63,1433,25
359,1475,33
1288,1484,30
1450,1494,27
2,45,17
18,48,22
6,55,23
7,72,26
12,77,27
8,77,31
54,90,30
52,143,20
4,168,25
43,176,33
4,194,25
48,195,28
147,199,25
2,202,26
2,205,31
1,227,22
8,236,30
16,288,25
2,296,17
50,298,20
39,299,27
45,336,28
320,344,20
213,355,26
230,372,31
327,389,27
414,433,28
31,440,28
247,489,22
147,492,22
33,517,23
23,518,23
26,520,20
349,520,31
18,546,22
430,567,23
148,569,18
6,599,30
547,603,32
12,609,22
45,623,36
29,656,23
12,660,27
156,673,24
341,685,28
398,692,27
77,700,24
119,703,27
427,704,40
200,710,22
129,724,25
60,733,30
114,757,15
860,865,16
56,877,29
69,889,32
148,911,24
212,917,21
142,961,26
418,972,31
126,1015,33
585,1043,23
1012,1076,30
581,1083,24
258,1164,24
761,1165,29
876,1185,21
35,1201,22
43,1238,20
495,1303,24
32,1321,24
1080,1360,27
355,1372,22
601,1415,29
800,1417,24
859,1432,27
5,12,15
10,41,22
31,60,21
56,74,24
52,94,21
8,98,22
75,107,19
78,142,26
147,171,25
2,179,24
69,182,25
68,215,26
168,227,23
214,260,20
40,301,29
120,311,24
239,327,29
339,357,21
230,359,22
359,396,23
79,399,24
328,469,30
2,517,31
2,531,14
448,538,30
86,583,22
385,610,22
193,627,34
30,648,30
320,681,23
443,697,28
635,705,21
462,708,36
29,734,23
405,817,24
31,908,33
689,990,29
799,1061,27
411,1074,27
27,1082,30
46,1086,23
717,1107,21
859,1117,25
50,1141,28
213,1160,29
907,1166,26
1008,1174,33
167,1179,20
838,1203,25
212,1213,28
989,1214,25
29,1225,30
935,1242,22
898,1275,35
473,1298,24
813,1299,21
93,1308,28
1160,1321,25
73,1336,26
19,1379,19
642,1402,28
899,1417,15
0,1465,28
455,1483,26
27,36,20
10,46,19
15,56,24
2,65,17
69,104,20
12,137,25
48,142,24
159,167,14
71,192,34
89,221,32
121,243,28
86,258,20
40,276,21
192,312,28
287,326,16
89,333,35
8,339,31
1,352,27
11,418,28
345,423,28
29,442,15
3,447,19
142,468,16
90,522,22
528,581,25
519,603,30
460,606,31
27,654,19
450,686,24
331,693,26
213,722,25
478,733,25
188,791,23
16,801,24
375,813,25
582,818,23
3,864,21
19,899,20
243,908,27
471,924,24
299,951,28
545,961,19
598,962,25
914,967,26
648,987,24
121,1029,28
671,1046,21
0,1064,24
9,1064,27
448,1095,29
192,1111,21
1065,1143,21
677,1182,25
645,1196,26
237,1247,25
1179,1278,29
338,1282,28
850,1304,23
173,1308,21
836,1314,16
791,1317,20
1063,1330,32
546,1347,23
512,1356,22
116,1369,26
75,1379,31
660,1396,30
410,1423,27
923,1424,31
1400,1425,29
857,1439,19
120,1447,24
466,1474,18
1191,1477,21
335,1490,19
18,29,29
2,52,27
2,76,26
55,103,29
41,128,30
19,204,28
29,213,21
168,232,24
2,243,22
249,263,30
2,284,16
9,297,21
20,304,26
304,306,21
2,381,40
321,384,20
55,393,18
245,402,26
34,415,20
28,432,26
81,439,24
18,466,28
137,472,32
330,500,18
161,501,15
21,595,23
523,637,30
328,647,22
